"Step","rstarcoder_sweep_routed_mlp_scaling_2 - eval/router/index_hist"
"170","{""_type"":""histogram"",""values"":[0,0,0,0,1471,15,329,23,13,4,54,22,11,4,21,81,8,35,0,35,10,95,60,21,2810,4,1,3,4,137,451,34,11,37,3,259],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"180","{""_type"":""histogram"",""values"":[0,0,0,0,242,5,92,15,9,2,8,14,7,3,7,25,5,9,0,21,9,18,23,11,2810,2,0,1,0,22,101,15,3,12,2,84],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"190","{""_type"":""histogram"",""values"":[0,0,0,0,103,2,60,8,9,1,4,10,4,7,5,16,4,6,0,15,10,13,18,9,2810,2,0,1,0,11,57,7,4,4,2,42],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"200","{""values"":[0,0,0,0,72,2,47,4,5,1,3,9,3,7,5,12,5,4,0,15,9,9,17,8,2810,2,0,2,0,11,39,6,5,2,2,29],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"210","{""_type"":""histogram"",""values"":[0,0,0,0,65,1,47,4,5,1,2,9,3,6,6,10,4,2,0,14,8,10,17,9,2810,2,0,2,0,11,38,7,5,2,2,29],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"220","{""values"":[0,0,0,0,65,1,47,6,7,1,1,9,3,7,6,12,4,3,0,16,8,11,17,7,2810,2,1,2,0,11,38,7,5,1,1,27],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"230","{""_type"":""histogram"",""values"":[0,0,0,0,63,2,48,7,9,1,1,9,3,9,6,14,3,2,0,16,6,11,16,8,2810,2,0,2,1,9,35,9,5,2,1,29],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"240","{""values"":[0,0,0,0,60,2,50,6,7,1,2,9,3,10,8,15,5,3,0,15,6,10,17,8,2810,2,0,2,0,11,36,9,6,2,1,24],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"250","{""values"":[0,0,0,0,60,2,50,6,7,2,1,10,3,8,8,14,5,3,0,13,7,11,17,10,2810,2,1,2,1,11,38,9,5,1,1,25],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"260","{""_type"":""histogram"",""values"":[0,0,0,0,69,1,52,9,9,2,1,10,3,8,8,16,6,3,0,13,8,12,18,9,2810,3,0,3,1,11,40,8,5,3,2,30],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"270","{""_type"":""histogram"",""values"":[0,0,0,0,68,1,56,7,6,2,2,10,4,7,9,17,7,5,0,13,6,11,20,7,2810,2,1,3,1,14,46,8,4,2,2,34],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"280","{""_type"":""histogram"",""values"":[0,0,0,0,45,1,52,8,7,2,1,11,3,9,9,16,8,5,0,13,5,16,19,8,2810,2,1,6,2,14,42,10,4,2,2,31],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"290","{""values"":[0,0,0,0,74,4,77,10,6,3,9,15,4,8,7,24,10,9,0,17,5,29,23,13,2810,3,1,12,1,24,72,8,5,12,3,67],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"300","{""_type"":""histogram"",""values"":[0,0,0,0,92,5,89,12,7,7,12,17,5,8,7,23,9,11,0,21,4,27,21,13,2810,3,1,20,2,30,91,9,5,21,4,79],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"310","{""_type"":""histogram"",""values"":[0,0,0,0,61,4,78,9,7,6,6,15,4,8,7,20,7,9,0,18,4,25,21,12,2810,3,1,23,1,27,74,11,5,15,2,59],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"320","{""_type"":""histogram"",""values"":[0,0,0,0,29,1,66,8,5,2,3,11,3,8,10,18,8,9,0,14,6,21,20,12,2810,2,1,36,1,19,48,8,4,9,2,42],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"330","{""_type"":""histogram"",""values"":[0,0,0,0,11,1,44,4,6,1,1,8,3,4,6,13,5,5,0,11,4,21,17,7,2810,2,1,37,0,15,32,5,5,6,2,31],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"340","{""_type"":""histogram"",""values"":[0,0,0,0,10,1,37,4,6,1,2,8,3,3,7,9,5,3,0,9,2,14,16,3,2810,1,1,36,0,11,22,6,5,0,2,19],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"350","{""_type"":""histogram"",""values"":[0,0,0,0,10,1,37,3,4,1,2,8,2,3,8,7,5,2,0,7,1,14,11,1,2810,1,1,34,0,9,18,5,5,0,1,15],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"360","{""_type"":""histogram"",""values"":[0,0,0,0,10,1,36,5,2,1,2,9,2,3,8,9,5,2,0,8,4,19,14,2,2810,1,1,34,0,9,21,7,5,0,1,18],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"370","{""_type"":""histogram"",""values"":[0,0,0,0,10,1,39,11,3,1,2,10,3,2,6,8,5,5,0,10,4,20,14,3,2810,1,1,33,0,10,20,5,5,1,1,20],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"380","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,37,15,4,1,2,10,3,2,7,10,5,6,0,10,2,19,14,5,2810,1,1,33,0,12,21,6,5,1,1,24],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"390","{""values"":[0,0,0,0,10,2,42,18,3,1,1,9,3,2,7,10,5,4,0,8,3,21,14,7,2810,1,1,33,0,12,21,6,5,1,1,28],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"400","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,55,22,2,1,2,10,3,2,8,18,6,7,0,12,7,25,15,7,2810,2,2,38,0,16,32,9,4,4,1,31],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"410","{""_type"":""histogram"",""values"":[0,0,0,0,19,5,83,24,4,1,5,12,4,3,11,36,6,10,0,14,9,29,19,16,2810,2,2,41,0,31,47,9,4,10,1,50],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"420","{""_type"":""histogram"",""values"":[0,0,0,0,31,5,87,28,10,0,8,13,5,3,10,28,4,9,0,14,11,38,26,19,2810,2,2,63,0,31,61,9,4,16,1,62],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
