"Step","rstarcoder_sweep_routed_mlp_scaling_2 - eval/router/index_hist"
"760","{""values"":[0,0,0,0,10,4,31,10,10,0,0,11,2,2,4,14,3,8,1,23,7,15,23,4,2810,0,0,32,0,20,20,8,2,2,1,29],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"770","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,29,10,11,0,0,11,2,2,4,14,3,8,1,24,7,16,23,4,2810,0,0,32,0,20,20,8,2,2,1,30],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"780","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,28,10,11,1,0,11,2,2,4,15,3,7,0,24,7,16,23,5,2810,0,0,32,0,20,20,8,2,2,1,29],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"790","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,30,11,12,1,1,11,2,2,5,12,3,7,0,25,7,12,21,3,2810,0,0,31,0,18,20,8,2,2,1,27],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"800","{""values"":[0,0,0,0,10,4,29,10,10,1,0,10,2,1,5,13,3,6,0,24,7,12,21,4,2810,0,0,30,0,13,19,7,2,2,1,25],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"810","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,28,10,10,1,0,10,2,1,4,14,3,6,0,24,7,10,21,3,2810,0,0,30,0,11,20,7,2,2,1,25],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"820","{""_type"":""histogram"",""values"":[0,0,0,0,10,5,26,10,10,1,0,10,2,1,5,13,3,6,0,25,7,9,22,4,2810,0,0,29,0,11,20,7,2,2,1,26],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"830","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,26,10,11,2,1,10,2,1,4,13,3,6,0,25,7,10,23,3,2810,0,0,30,0,10,18,7,2,2,1,25],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"840","{""values"":[0,0,0,0,10,3,24,10,11,2,1,10,2,1,4,13,3,7,0,24,7,8,23,2,2810,0,0,29,0,9,18,7,2,2,1,24],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"850","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,23,10,11,2,0,10,2,1,4,13,3,6,0,24,7,9,23,2,2810,0,0,30,0,10,18,7,2,2,1,24],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"860","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,21,10,12,2,0,10,2,2,4,14,3,6,0,24,7,10,23,3,2810,0,0,29,0,10,18,7,3,2,1,24],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"870","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,23,10,11,2,0,10,2,1,4,14,3,6,0,24,7,10,23,3,2810,0,0,32,0,10,19,7,3,2,1,25],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"880","{""_type"":""histogram"",""values"":[0,0,0,0,10,5,23,12,12,2,0,10,2,1,4,13,3,6,0,24,7,9,23,3,2810,0,0,33,0,11,18,7,3,2,1,26],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"890","{""_type"":""histogram"",""values"":[0,0,0,0,10,5,24,11,11,2,1,10,2,1,3,14,3,6,0,24,7,11,24,2,2810,0,0,35,0,10,18,7,2,2,1,27],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"900","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,24,11,11,2,0,10,2,1,3,13,3,7,0,22,7,11,24,2,2810,0,0,37,0,11,19,7,2,2,1,28],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"910","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,26,10,11,2,0,10,2,1,3,13,3,7,0,22,7,11,24,2,2810,0,0,37,0,12,18,7,2,2,1,27],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"920","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,25,10,11,2,0,10,2,1,3,13,3,7,0,22,7,10,24,2,2810,0,0,37,0,12,18,7,2,2,1,25],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"930","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,25,9,12,2,0,10,2,1,3,14,3,7,0,21,7,9,24,2,2810,0,0,37,0,10,18,7,2,2,1,26],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"940","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,25,10,12,2,0,10,2,1,3,13,3,6,0,22,7,9,24,2,2810,0,0,38,0,11,19,7,2,3,1,25],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"950","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,26,11,12,2,0,10,2,1,3,14,3,6,0,22,7,9,24,3,2810,0,0,39,0,12,17,7,2,2,1,24],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"960","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,25,11,12,2,0,10,2,1,3,13,3,7,0,23,7,9,24,3,2810,0,0,40,0,12,18,7,2,3,1,24],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"970","{""values"":[0,0,0,0,10,3,26,10,12,2,0,10,2,1,3,14,3,8,0,24,7,8,24,3,2810,0,0,40,0,12,18,6,2,2,1,25],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"980","{""_type"":""histogram"",""values"":[0,0,0,0,10,3,25,11,13,2,1,10,2,1,3,14,3,8,0,24,7,8,24,3,2810,0,0,40,0,11,18,6,2,2,1,24],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"990","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,24,10,12,2,1,10,2,1,3,13,3,7,0,23,7,8,24,3,2810,0,0,40,0,11,18,6,2,3,1,26],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"999","{""_type"":""histogram"",""values"":[0,0,0,0,10,4,25,10,13,2,0,10,2,1,3,14,3,7,0,23,7,9,24,3,2810,0,0,40,0,13,18,6,2,3,1,25],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
