"Step","rstarcoder_sweep_routed_mlp_lblb_33_rerun - eval/router/index_hist"
"170","{""_type"":""histogram"",""values"":[0,0,0,0,2275,65,27,3,4,2,0,16,1795,1,2,119,9,493,2307,2,4,0,2,1164,0,18,36,1,0,1,81,0,0,2815,33,1],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"180","{""_type"":""histogram"",""values"":[0,0,0,0,2698,1,65,4,6,4,0,50,16,1,6,702,34,1503,40,5,11,3,1,2329,0,170,163,4,0,6,491,0,0,2818,144,1],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"190","{""_type"":""histogram"",""values"":[0,0,0,0,2759,0,54,3,5,0,0,41,3,2,10,696,32,1198,5,5,7,2,0,2480,0,130,201,2,0,2,491,0,0,2819,328,1],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"200","{""values"":[0,0,0,0,2716,0,94,3,6,0,0,67,2,2,24,1068,28,213,11,4,7,4,0,2626,0,250,40,0,0,3,580,0,0,2819,709,0],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"210","{""_type"":""histogram"",""values"":[0,0,0,0,2648,0,71,3,7,0,0,9,1,4,65,771,7,48,7,5,11,5,0,2656,0,199,0,3,0,3,454,0,0,2819,1480,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"220","{""_type"":""histogram"",""values"":[0,0,0,0,2703,0,66,3,6,0,0,2,1,4,60,499,1,17,6,5,53,2,0,2656,0,195,0,2,0,1,340,0,0,2819,1835,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"230","{""values"":[0,0,0,0,2780,0,75,3,8,0,0,3,1,1,94,703,1,22,6,7,8,2,0,2744,0,315,0,2,0,1,452,0,0,2819,1229,0],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"240","{""_type"":""histogram"",""values"":[0,0,0,0,2752,0,347,3,8,0,0,2,1,0,110,987,1,28,11,10,2,2,0,2797,0,300,0,0,0,2,547,0,0,2819,547,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"250","{""_type"":""histogram"",""values"":[0,0,0,0,2801,0,592,5,8,0,0,2,1,0,13,865,1,14,23,14,2,2,0,2792,0,262,0,0,0,2,486,0,0,2819,572,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"260","{""_type"":""histogram"",""values"":[0,0,0,0,786,0,1556,7,10,0,0,5,2,0,12,1012,1,28,22,52,2,4,0,2671,0,710,0,1,0,11,507,0,0,2819,1058,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"270","{""_type"":""histogram"",""values"":[0,0,0,0,557,0,713,9,9,0,0,7,2,0,21,1369,1,78,19,129,1,4,0,2159,0,1086,0,2,0,173,647,0,0,2819,1471,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"280","{""_type"":""histogram"",""values"":[0,0,0,0,1880,0,34,9,5,0,0,4,2,0,23,1139,1,45,11,243,1,4,8,1271,0,995,0,1,0,300,381,0,0,2819,2100,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"290","{""values"":[0,0,0,0,2814,0,9,4,4,0,0,4,1,0,24,695,2,15,3,57,1,3,52,878,0,956,0,2,0,339,276,0,0,2810,2327,0],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"300","{""_type"":""histogram"",""values"":[0,0,0,0,2815,0,1,6,4,1,0,6,2,0,30,376,1,16,3,14,1,5,0,412,0,1427,0,1,0,795,252,0,1,2815,2292,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"310","{""_type"":""histogram"",""values"":[0,0,0,0,2812,0,0,6,3,1,0,4,2,0,25,273,1,17,3,7,1,7,0,227,0,1480,0,1,0,1632,203,0,0,2818,1753,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"320","{""values"":[0,0,0,0,2791,0,0,6,4,1,0,7,3,0,37,335,0,23,5,7,1,3,0,301,0,1615,0,2,0,2105,283,0,0,2819,928,0],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"330","{""_type"":""histogram"",""values"":[0,0,0,0,2758,0,0,6,3,1,0,8,3,0,46,269,0,29,7,6,1,1,0,305,0,1594,0,2,0,2743,281,0,0,2819,394,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"340","{""_type"":""histogram"",""values"":[0,0,0,0,2702,0,0,6,2,1,0,9,3,0,62,474,0,30,9,4,2,1,0,281,0,1576,0,0,0,2791,277,0,0,2819,227,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"350","{""_type"":""histogram"",""values"":[0,0,0,0,2533,0,0,5,2,0,0,7,2,0,56,541,0,19,8,3,2,1,0,184,0,1905,0,0,0,2798,312,0,0,2819,79,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"360","{""values"":[0,0,0,0,2102,0,0,6,3,1,0,10,3,0,4,903,1,29,12,5,3,1,0,159,0,1887,0,0,0,2774,476,0,0,2819,78,0],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"370","{""_type"":""histogram"",""values"":[0,0,0,0,2794,0,0,7,6,0,0,9,3,0,0,1224,1,47,14,5,2,2,0,207,0,644,0,0,0,2766,611,0,0,2819,115,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"380","{""_type"":""histogram"",""values"":[0,0,0,0,2809,0,1,15,7,0,0,12,2,0,0,1571,1,55,11,5,2,2,0,225,0,265,0,2,0,2760,608,0,0,2818,105,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"390","{""_type"":""histogram"",""values"":[0,0,0,0,2793,0,1,15,7,0,0,16,3,0,0,1706,1,59,15,5,2,2,0,230,0,128,0,1,0,2761,586,0,0,2818,127,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"400","{""_type"":""histogram"",""values"":[0,0,0,0,2793,0,1,7,7,0,0,14,2,0,0,1719,1,42,54,6,2,1,0,369,0,103,0,1,0,2759,440,0,0,2818,137,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"410","{""values"":[0,0,0,0,2789,0,1,4,8,0,0,18,2,0,0,1505,1,37,164,6,2,1,0,507,0,138,0,1,0,2760,346,1,0,2818,167,0],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"420","{""_type"":""histogram"",""values"":[0,0,0,0,2772,0,1,4,7,0,0,22,1,0,0,1309,1,31,315,6,3,1,0,588,0,166,0,0,0,2762,283,1,0,2818,185,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"430","{""values"":[0,0,0,0,2623,0,2,4,8,0,0,23,1,0,0,1208,0,33,339,7,3,1,0,690,0,230,0,0,0,2763,298,1,0,2819,223,0],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"440","{""_type"":""histogram"",""values"":[0,0,0,0,2198,0,3,4,9,1,0,29,2,0,0,1310,1,50,232,7,3,1,0,800,0,347,0,0,0,2765,365,1,0,2819,329,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"450","{""_type"":""histogram"",""values"":[0,0,0,0,1948,0,2,4,9,1,0,31,2,0,0,1312,1,66,176,8,3,2,0,856,0,404,0,0,0,2755,282,0,0,2819,595,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"460","{""_type"":""histogram"",""values"":[0,0,0,0,2398,0,2,4,10,1,0,26,2,0,0,1218,1,51,45,10,3,2,0,801,0,325,0,2,0,2722,243,0,0,2819,591,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"470","{""_type"":""histogram"",""values"":[0,0,0,0,2446,0,2,4,10,1,0,28,2,0,0,1196,1,51,18,10,3,2,0,799,0,376,0,4,0,2671,238,0,0,2819,595,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"480","{""values"":[0,0,0,0,2389,0,4,4,11,1,0,28,2,0,0,1163,1,43,17,10,3,2,0,889,0,531,0,6,0,2621,268,0,0,2819,464,0],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"490","{""values"":[0,0,0,0,2040,0,4,4,11,1,0,33,3,0,0,1307,1,49,16,10,3,3,0,1012,0,652,0,6,0,2623,295,0,0,2819,384,0],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"499","{""_type"":""histogram"",""values"":[0,0,0,0,2041,0,4,4,10,1,0,31,2,0,0,1346,1,32,13,10,3,3,0,896,0,641,0,4,0,2548,299,0,0,2819,568,0],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
