"Step","rstarcoder_sweep_routed_mlp_30 - eval/router/index_hist"
"170","{""_type"":""histogram"",""values"":[0,0,0,0,317,16,146,11,7,62,48,125,4,10,10,462,1,42,189,9,11,723,38,7,2810,12,0,1,83,31,23,4,12,1,6,663],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"180","{""_type"":""histogram"",""values"":[0,0,0,0,233,13,152,9,7,51,38,123,3,11,11,423,4,33,159,11,12,654,43,6,2810,10,0,2,82,24,24,4,11,2,8,612],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"190","{""_type"":""histogram"",""values"":[0,0,0,0,224,16,158,9,6,55,34,127,3,12,10,367,6,38,146,11,13,647,47,7,2810,10,0,1,94,25,26,6,14,1,7,647],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"200","{""_type"":""histogram"",""values"":[0,0,0,0,294,18,161,13,5,57,43,124,3,11,10,457,7,37,200,11,13,779,61,8,2810,10,0,1,108,22,32,4,16,1,6,774],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"210","{""_type"":""histogram"",""values"":[0,0,0,0,462,28,186,12,4,66,52,134,3,8,12,588,5,52,257,11,12,928,66,8,2810,10,0,1,143,34,41,3,17,2,9,918],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"220","{""_type"":""histogram"",""values"":[0,0,0,0,523,33,178,17,5,72,61,143,3,7,11,641,7,50,242,13,12,964,61,8,2810,12,1,1,145,40,44,4,14,3,7,980],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"230","{""_type"":""histogram"",""values"":[0,0,0,0,746,27,167,11,7,73,56,139,3,2,8,608,6,38,198,10,13,896,47,7,2810,12,1,0,115,25,31,4,15,2,6,892],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"240","{""_type"":""histogram"",""values"":[0,0,0,0,802,31,146,14,7,66,50,122,3,2,14,574,5,37,189,9,12,845,45,5,2810,12,1,1,90,25,23,3,13,1,5,804],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"250","{""_type"":""histogram"",""values"":[0,0,0,0,869,28,162,10,6,70,57,128,3,1,10,570,7,36,179,8,13,848,50,5,2810,12,1,1,103,24,25,3,11,2,8,801],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"260","{""_type"":""histogram"",""values"":[0,0,0,0,980,24,158,16,7,70,61,145,3,1,12,601,6,35,188,8,12,886,46,2,2810,12,2,1,110,27,23,5,13,2,7,838],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"270","{""_type"":""histogram"",""values"":[0,0,0,0,1096,31,175,13,7,85,61,163,4,1,13,644,7,33,215,9,11,1096,52,5,2810,12,2,1,111,30,29,3,14,1,9,947],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"280","{""_type"":""histogram"",""values"":[0,0,0,0,809,33,172,15,6,106,63,168,3,0,12,655,6,43,246,10,11,1237,56,6,2810,12,1,1,157,33,39,2,15,2,7,1005],""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"290","{""values"":[0,0,0,0,1237,38,180,11,9,139,75,168,3,0,12,652,7,37,149,7,13,1345,58,8,2810,15,1,4,149,30,36,3,17,1,7,1090],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
"300","{""values"":[0,0,0,0,1277,36,168,11,9,198,77,169,3,0,12,662,6,38,123,8,13,1355,55,8,2810,14,2,4,159,29,38,4,16,1,8,1063],""_type"":""histogram"",""bins"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36]}"
